0 	World	World	World	7432663275	7349472099	+1.1%
1	 China	Asia	Eastern Asia	1382323332	1376048943	+0.5%
2	 India	Asia	Southern Asia	1326801576	1311050527	+1.2%
3	 United States	Americas	Northern America	324118787	321773631	+0.7%
4	 Indonesia	Asia	South-Eastern Asia	260581100	257563815	+1.2%
5	 Brazil	Americas	South America	209567920	207847528	+0.8%
6	 Pakistan	Asia	Southern Asia	192826502	188924874	+2.1%
7	 Nigeria	Africa	Western Africa	186987563	182201962	+2.6%
8	 Bangladesh	Asia	Southern Asia	162910864	160995642	+1.2%
9	 Russia	Europe	Eastern Europe	143439832	143456918	0.0%
10	 Mexico	Americas	Central America	128632004	127017224	+1.3%
11	 Japan	Asia	Eastern Asia	126323715	126573481	−0.2%
12	 Philippines	Asia	South-Eastern Asia	102250133	100699395	+1.5%
13	 Ethiopia	Africa	Eastern Africa	101853268	99390750	+2.5%
14	 Vietnam	Asia	South-Eastern Asia	94444200	93447601	+1.1%
15	 Egypt	Africa	Northern Africa	93383574	91508084	+2.0%
16	 Germany	Europe	Western Europe	80682351	80688545	0.0%
17	 Iran	Asia	Southern Asia	80043146	79109272	+1.2%
18	 Democratic Republic of the Congo	Africa	Middle Africa	79722624	77266814	+3.2%
19	 Turkey	Asia	Western Asia	79622062	78665830	+1.2%
20	 Thailand	Asia	South-Eastern Asia	68146609	67959359	+0.3%
21	 United Kingdom	Europe	Northern Europe	65111143	64715810	+0.6%
22	 France	Europe	Western Europe	64668129	64395345	+0.4%
23	 Italy	Europe	Southern Europe	59801004	59797685	0.0%
24	 Tanzania[a]	Africa	Eastern Africa	55155473	53470420	+3.2%
25	 South Africa	Africa	Southern Africa	54978907	54490406	+0.9%
26	 Myanmar	Asia	South-Eastern Asia	54363426	53897154	+0.9%
27	 South Korea	Asia	Eastern Asia	50503933	50293439	+0.4%
28	 Colombia	Americas	South America	48654392	48228704	+0.9%
29	 Kenya	Africa	Eastern Africa	47251449	46050302	+2.6%
30	 Spain	Europe	Southern Europe	46064604	46121699	−0.1%
31	 Ukraine	Europe	Eastern Europe	44624373	44823765	−0.4%
32	 Argentina	Americas	South America	43847277	43416755	+1.0%
33	 Sudan	Africa	Northern Africa	41175541	40234882	+2.3%
34	 Algeria	Africa	Northern Africa	40375954	39666519	+1.8%
35	 Uganda	Africa	Eastern Africa	40322768	39032383	+3.3%
36	 Poland	Europe	Eastern Europe	38593161	38611794	0.0%
37	 Iraq	Asia	Western Asia	37547686	36423395	+3.1%
38	 Canada	Americas	Northern America	36286378	35939927	+1.0%
39	 Morocco	Africa	Northern Africa	34817065	34377511	+1.3%
40	 Afghanistan	Asia	Southern Asia	33369945	32526562	+2.6%
41	 Saudi Arabia	Asia	Western Asia	32157974	31540372	+2.0%
42	 Peru	Americas	South America	31774225	31376670	+1.3%
